year,state,county,share_overall_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,1,101,.3832032,1,race-ethnicity,All
2023,1,101,.4184254,1,race-ethnicity,Majority Non-White
2023,1,101,.2525527,1,race-ethnicity,Majority White
2023,1,103,.2930197,1,race-ethnicity,All
2023,1,103,.3919308,1,race-ethnicity,Majority Non-White
2023,1,103,.2571429,1,race-ethnicity,Majority White
2023,1,105,.4599156,1,race-ethnicity,All
2023,1,105,.4599156,1,race-ethnicity,Majority Non-White
2023,1,105,NA,3,race-ethnicity,Majority White
2023,1,107,.353902,1,race-ethnicity,All
2023,1,107,.4763949,1,race-ethnicity,Majority Non-White
2023,1,107,.2641509,1,race-ethnicity,Majority White
2023,1,109,.3695409,1,race-ethnicity,All
2023,1,109,NA,3,race-ethnicity,Majority Non-White
2023,1,109,.3695409,1,race-ethnicity,Majority White
2023,1,111,.3287101,1,race-ethnicity,All
2023,1,111,NA,3,race-ethnicity,Majority Non-White
2023,1,111,.3287101,1,race-ethnicity,Majority White
2023,1,113,.4190801,1,race-ethnicity,All
2023,1,113,.4417629,1,race-ethnicity,Majority Non-White
2023,1,113,.3920596,1,race-ethnicity,Majority White
2023,1,115,.2697917,1,race-ethnicity,All
2023,1,115,NA,3,race-ethnicity,Majority Non-White
2023,1,115,.2694986,1,race-ethnicity,Majority White
2023,1,117,.198995,1,race-ethnicity,All
2023,1,117,NA,3,race-ethnicity,Majority Non-White
2023,1,117,.1990781,1,race-ethnicity,Majority White
2023,1,119,.4059702,1,race-ethnicity,All
2023,1,119,.4090909,1,race-ethnicity,Majority Non-White
2023,1,119,NA,3,race-ethnicity,Majority White
2023,1,121,.3925271,1,race-ethnicity,All
2023,1,121,.4269663,1,race-ethnicity,Majority Non-White
2023,1,121,.3733583,1,race-ethnicity,Majority White
2023,1,123,.2829629,1,race-ethnicity,All
2023,1,123,.2758621,1,race-ethnicity,Majority Non-White
2023,1,123,.2834521,1,race-ethnicity,Majority White
2023,1,125,.2956181,1,race-ethnicity,All
2023,1,125,.366856,1,race-ethnicity,Majority Non-White
2023,1,125,.2273455,1,race-ethnicity,Majority White
2023,1,127,.3338391,1,race-ethnicity,All
2023,1,127,NA,3,race-ethnicity,Majority Non-White
2023,1,127,.3338391,1,race-ethnicity,Majority White
2023,1,129,.2885772,1,race-ethnicity,All
2023,1,129,.3007519,1,race-ethnicity,Majority Non-White
2023,1,129,.284153,1,race-ethnicity,Majority White
2023,1,131,.4225352,1,race-ethnicity,All
2023,1,131,.4179105,1,race-ethnicity,Majority Non-White
2023,1,131,NA,3,race-ethnicity,Majority White
2023,1,133,.2827869,1,race-ethnicity,All
2023,1,133,NA,3,race-ethnicity,Majority Non-White
2023,1,133,.2827869,1,race-ethnicity,Majority White
2023,2,13,NA,3,race-ethnicity,All
2023,2,13,NA,3,race-ethnicity,Majority Non-White
2023,2,13,NA,3,race-ethnicity,Majority White
2023,2,16,.2592593,1,race-ethnicity,All
2023,2,16,.2592593,1,race-ethnicity,Majority Non-White
2023,2,16,NA,3,race-ethnicity,Majority White
2023,2,20,.1927065,1,race-ethnicity,All
2023,2,20,.2705838,1,race-ethnicity,Majority Non-White
2023,2,20,.1563757,1,race-ethnicity,Majority White
2023,2,50,.2482014,1,race-ethnicity,All
2023,2,50,.2408759,1,race-ethnicity,Majority Non-White
2023,2,50,NA,3,race-ethnicity,Majority White
2023,2,60,NA,3,race-ethnicity,All
2023,2,60,NA,3,race-ethnicity,Majority Non-White
2023,2,60,NA,3,race-ethnicity,Majority White
2023,2,63,.0928962,1,race-ethnicity,All
2023,2,63,NA,3,race-ethnicity,Majority Non-White
2023,2,63,.0857143,1,race-ethnicity,Majority White
2023,2,66,.1081081,1,race-ethnicity,All
2023,2,66,NA,3,race-ethnicity,Majority Non-White
2023,2,66,.109589,1,race-ethnicity,Majority White
2023,2,68,.1,1,race-ethnicity,All
2023,2,68,NA,3,race-ethnicity,Majority Non-White
2023,2,68,.1,1,race-ethnicity,Majority White
2023,2,70,.1263158,1,race-ethnicity,All
2023,2,70,.1263158,1,race-ethnicity,Majority Non-White
2023,2,70,NA,3,race-ethnicity,Majority White
2023,2,90,.165596,1,race-ethnicity,All
2023,2,90,.0925926,1,race-ethnicity,Majority Non-White
2023,2,90,.1679132,1,race-ethnicity,Majority White
2023,2,100,.0540541,1,race-ethnicity,All
2023,2,100,NA,3,race-ethnicity,Majority Non-White
2023,2,100,.0540541,1,race-ethnicity,Majority White
2023,2,105,.2037037,1,race-ethnicity,All
2023,2,105,NA,3,race-ethnicity,Majority Non-White
2023,2,105,NA,3,race-ethnicity,Majority White
2023,2,110,.1340956,1,race-ethnicity,All
2023,2,110,NA,3,race-ethnicity,Majority Non-White
2023,2,110,.1340956,1,race-ethnicity,Majority White
2023,2,122,.1593069,1,race-ethnicity,All
2023,2,122,NA,3,race-ethnicity,Majority Non-White
2023,2,122,.1596639,1,race-ethnicity,Majority White
2023,2,130,.1437909,1,race-ethnicity,All
2023,2,130,NA,3,race-ethnicity,Majority Non-White
2023,2,130,.1437909,1,race-ethnicity,Majority White
2023,2,150,.1147059,1,race-ethnicity,All
2023,2,150,.1147059,1,race-ethnicity,Majority Non-White
2023,2,150,NA,3,race-ethnicity,Majority White
2023,2,158,.2372881,1,race-ethnicity,All
2023,2,158,.2372881,1,race-ethnicity,Majority Non-White
2023,2,158,NA,3,race-ethnicity,Majority White
2023,2,164,NA,3,race-ethnicity,All
2023,2,164,NA,3,race-ethnicity,Majority Non-White
2023,2,164,NA,3,race-ethnicity,Majority White
2023,2,170,.1578425,1,race-ethnicity,All
2023,2,170,NA,3,race-ethnicity,Majority Non-White
2023,2,170,.1578425,1,race-ethnicity,Majority White
2023,2,180,.1829268,1,race-ethnicity,All
2023,2,180,.1829268,1,race-ethnicity,Majority Non-White
2023,2,180,NA,3,race-ethnicity,Majority White
2023,2,185,.1776316,1,race-ethnicity,All
2023,2,185,.1788079,1,race-ethnicity,Majority Non-White
2023,2,185,NA,3,race-ethnicity,Majority White
2023,2,188,.3023256,1,race-ethnicity,All
2023,2,188,.3023256,1,race-ethnicity,Majority Non-White
2023,2,188,NA,3,race-ethnicity,Majority White
2023,2,195,.1222222,1,race-ethnicity,All
2023,2,195,NA,3,race-ethnicity,Majority Non-White
2023,2,195,.1084337,1,race-ethnicity,Majority White
2023,2,198,.1780822,1,race-ethnicity,All
2023,2,198,.1707317,1,race-ethnicity,Majority Non-White
2023,2,198,.1875,1,race-ethnicity,Majority White
2023,2,220,.1441048,1,race-ethnicity,All
2023,2,220,NA,3,race-ethnicity,Majority Non-White
2023,2,220,.1441048,1,race-ethnicity,Majority White
2023,2,230,NA,3,race-ethnicity,All
2023,2,230,NA,3,race-ethnicity,Majority Non-White
2023,2,230,NA,3,race-ethnicity,Majority White
2023,2,240,.1369863,1,race-ethnicity,All
2023,2,240,NA,3,race-ethnicity,Majority Non-White
2023,2,240,.135514,1,race-ethnicity,Majority White
2023,2,261,NA,3,race-ethnicity,All
2023,2,261,NA,3,race-ethnicity,Majority Non-White
2023,2,261,NA,3,race-ethnicity,Majority White
2023,2,275,.1,1,race-ethnicity,All
2023,2,275,NA,3,race-ethnicity,Majority Non-White
2023,2,275,.1,1,race-ethnicity,Majority White
2023,2,282,NA,3,race-ethnicity,All
2023,2,282,NA,3,race-ethnicity,Majority Non-White
2023,2,282,NA,3,race-ethnicity,Majority White
2023,2,290,.1578947,1,race-ethnicity,All
2023,2,290,.1724138,1,race-ethnicity,Majority Non-White
2023,2,290,NA,3,race-ethnicity,Majority White
2023,4,1,.4281768,1,race-ethnicity,All
2023,4,1,.486631,1,race-ethnicity,Majority Non-White
2023,4,1,.2754491,1,race-ethnicity,Majority White
2023,4,3,.2170827,1,race-ethnicity,All
2023,4,3,.3041065,1,race-ethnicity,Majority Non-White
2023,4,3,.1924647,1,race-ethnicity,Majority White
2023,4,5,.2354523,1,race-ethnicity,All
2023,4,5,.4029227,1,race-ethnicity,Majority Non-White
2023,4,5,.1830128,1,race-ethnicity,Majority White
2023,4,7,.2434411,1,race-ethnicity,All
2023,4,7,.4017467,1,race-ethnicity,Majority Non-White
2023,4,7,.2177305,1,race-ethnicity,Majority White
2023,4,9,.304,1,race-ethnicity,All
2023,4,9,.3387574,1,race-ethnicity,Majority Non-White
2023,4,9,.2314815,1,race-ethnicity,Majority White
2023,4,11,.3041475,1,race-ethnicity,All
2023,4,11,.3142857,1,race-ethnicity,Majority Non-White
2023,4,11,.2857143,1,race-ethnicity,Majority White
2023,4,12,.2299652,1,race-ethnicity,All
2023,4,12,.2560976,1,race-ethnicity,Majority Non-White
2023,4,12,.1951219,1,race-ethnicity,Majority White
2023,4,13,.222341,1,race-ethnicity,All
2023,4,13,.3225063,1,race-ethnicity,Majority Non-White
2023,4,13,.1619892,1,race-ethnicity,Majority White
2023,4,15,.2438757,1,race-ethnicity,All
2023,4,15,NA,3,race-ethnicity,Majority Non-White
2023,4,15,.2422574,1,race-ethnicity,Majority White
2023,4,17,.3193333,1,race-ethnicity,All
2023,4,17,.450078,1,race-ethnicity,Majority Non-White
2023,4,17,.2216374,1,race-ethnicity,Majority White
2023,4,19,.2211385,1,race-ethnicity,All
2023,4,19,.3149935,1,race-ethnicity,Majority Non-White
2023,4,19,.1697119,1,race-ethnicity,Majority White
2023,4,21,.2313462,1,race-ethnicity,All
2023,4,21,.2983385,1,race-ethnicity,Majority Non-White
2023,4,21,.1926409,1,race-ethnicity,Majority White
2023,4,23,.2303274,1,race-ethnicity,All
2023,4,23,.2460938,1,race-ethnicity,Majority Non-White
2023,4,23,.1121951,1,race-ethnicity,Majority White
2023,4,25,.1841914,1,race-ethnicity,All
2023,4,25,.3934426,1,race-ethnicity,Majority Non-White
2023,4,25,.18263,1,race-ethnicity,Majority White
2023,4,27,.2311132,1,race-ethnicity,All
2023,4,27,.2454103,1,race-ethnicity,Majority Non-White
2023,4,27,.148429,1,race-ethnicity,Majority White
2023,5,1,.3387387,1,race-ethnicity,All
2023,5,1,NA,3,race-ethnicity,Majority Non-White
2023,5,1,.3394496,1,race-ethnicity,Majority White
2023,5,3,.3676704,1,race-ethnicity,All
2023,5,3,NA,3,race-ethnicity,Majority Non-White
2023,5,3,.3646865,1,race-ethnicity,Majority White
2023,5,5,.2210595,1,race-ethnicity,All
2023,5,5,NA,3,race-ethnicity,Majority Non-White
2023,5,5,.2210595,1,race-ethnicity,Majority White
2023,5,7,.202434,1,race-ethnicity,All
2023,5,7,.3305785,1,race-ethnicity,Majority Non-White
2023,5,7,.2007267,1,race-ethnicity,Majority White
2023,5,9,.2671509,1,race-ethnicity,All
2023,5,9,NA,3,race-ethnicity,Majority Non-White
2023,5,9,.2671509,1,race-ethnicity,Majority White
2023,5,11,.3553459,1,race-ethnicity,All
2023,5,11,NA,3,race-ethnicity,Majority Non-White
2023,5,11,.3553459,1,race-ethnicity,Majority White
2023,5,13,.3846154,1,race-ethnicity,All
2023,5,13,NA,3,race-ethnicity,Majority Non-White
2023,5,13,.3589744,1,race-ethnicity,Majority White
2023,5,15,.2520138,1,race-ethnicity,All
2023,5,15,NA,3,race-ethnicity,Majority Non-White
2023,5,15,.2520138,1,race-ethnicity,Majority White
2023,5,17,.4724919,1,race-ethnicity,All
2023,5,17,.5732484,1,race-ethnicity,Majority Non-White
2023,5,17,.368421,1,race-ethnicity,Majority White
2023,5,19,.3224756,1,race-ethnicity,All
2023,5,19,NA,3,race-ethnicity,Majority Non-White
2023,5,19,.3238255,1,race-ethnicity,Majority White
2023,5,21,.3024831,1,race-ethnicity,All
2023,5,21,NA,3,race-ethnicity,Majority Non-White
2023,5,21,.3024831,1,race-ethnicity,Majority White
2023,5,23,.22,1,race-ethnicity,All
2023,5,23,NA,3,race-ethnicity,Majority Non-White
2023,5,23,.22,1,race-ethnicity,Majority White
2023,5,25,.2676056,1,race-ethnicity,All
2023,5,25,NA,3,race-ethnicity,Majority Non-White
2023,5,25,.2676056,1,race-ethnicity,Majority White
2023,5,27,.3581871,1,race-ethnicity,All
2023,5,27,NA,3,race-ethnicity,Majority Non-White
2023,5,27,.3578792,1,race-ethnicity,Majority White
2023,5,29,.2841945,1,race-ethnicity,All
2023,5,29,NA,3,race-ethnicity,Majority Non-White
2023,5,29,.2868098,1,race-ethnicity,Majority White
2023,5,31,.333935,1,race-ethnicity,All
2023,5,31,NA,3,race-ethnicity,Majority Non-White
2023,5,31,.333935,1,race-ethnicity,Majority White
2023,5,33,.2927083,1,race-ethnicity,All
2023,5,33,NA,3,race-ethnicity,Majority Non-White
2023,5,33,.2928609,1,race-ethnicity,Majority White
2023,5,35,.4833898,1,race-ethnicity,All
2023,5,35,.5584416,1,race-ethnicity,Majority Non-White
2023,5,35,.3821656,1,race-ethnicity,Majority White
2023,5,37,.3553875,1,race-ethnicity,All
2023,5,37,NA,3,race-ethnicity,Majority Non-White
2023,5,37,.3512974,1,race-ethnicity,Majority White
2023,5,39,.4611399,1,race-ethnicity,All
2023,5,39,.4733333,1,race-ethnicity,Majority Non-White
2023,5,39,NA,3,race-ethnicity,Majority White
2023,5,41,.4263323,1,race-ethnicity,All
2023,5,41,.4363636,1,race-ethnicity,Majority Non-White
2023,5,41,.4183007,1,race-ethnicity,Majority White
2023,5,43,.3862434,1,race-ethnicity,All
2023,5,43,NA,3,race-ethnicity,Majority Non-White
2023,5,43,.3860294,1,race-ethnicity,Majority White
2023,5,45,.2530057,1,race-ethnicity,All
2023,5,45,NA,3,race-ethnicity,Majority Non-White
2023,5,45,.2530057,1,race-ethnicity,Majority White
2023,5,47,.2909091,1,race-ethnicity,All
2023,5,47,NA,3,race-ethnicity,Majority Non-White
2023,5,47,.2909091,1,race-ethnicity,Majority White
2023,5,49,.2385058,1,race-ethnicity,All
2023,5,49,NA,3,race-ethnicity,Majority Non-White
2023,5,49,.2369942,1,race-ethnicity,Majority White
2023,5,51,.2738461,1,race-ethnicity,All
2023,5,51,NA,3,race-ethnicity,Majority Non-White
2023,5,51,.2738461,1,race-ethnicity,Majority White
2023,5,53,.2384342,1,race-ethnicity,All
2023,5,53,NA,3,race-ethnicity,Majority Non-White
2023,5,53,.236136,1,race-ethnicity,Majority White
2023,5,55,.3313996,1,race-ethnicity,All
2023,5,55,NA,3,race-ethnicity,Majority Non-White
2023,5,55,.3313996,1,race-ethnicity,Majority White
2023,5,57,.3724247,1,race-ethnicity,All
2023,5,57,NA,3,race-ethnicity,Majority Non-White
2023,5,57,.3786078,1,race-ethnicity,Majority White
2023,5,59,.3133333,1,race-ethnicity,All
2023,5,59,NA,3,race-ethnicity,Majority Non-White
2023,5,59,.3133333,1,race-ethnicity,Majority White
2023,5,61,.3195402,1,race-ethnicity,All
2023,5,61,.3188406,1,race-ethnicity,Majority Non-White
2023,5,61,.3196721,1,race-ethnicity,Majority White
2023,5,63,.2755102,1,race-ethnicity,All
2023,5,63,NA,3,race-ethnicity,Majority Non-White
2023,5,63,.2755102,1,race-ethnicity,Majority White
2023,5,65,.2611276,1,race-ethnicity,All
2023,5,65,NA,3,race-ethnicity,Majority Non-White
2023,5,65,.2611276,1,race-ethnicity,Majority White
2023,5,67,.3636364,1,race-ethnicity,All
2023,5,67,NA,3,race-ethnicity,Majority Non-White
2023,5,67,.3636364,1,race-ethnicity,Majority White
2023,5,69,.4336918,1,race-ethnicity,All
2023,5,69,.486627,1,race-ethnicity,Majority Non-White
2023,5,69,.3163097,1,race-ethnicity,Majority White
2023,5,71,.3160237,1,race-ethnicity,All
2023,5,71,NA,3,race-ethnicity,Majority Non-White
2023,5,71,.3160237,1,race-ethnicity,Majority White
2023,5,73,.4146341,1,race-ethnicity,All
2023,5,73,.4864865,1,race-ethnicity,Majority Non-White
2023,5,73,.3740458,1,race-ethnicity,Majority White
2023,5,75,.3256637,1,race-ethnicity,All
2023,5,75,NA,3,race-ethnicity,Majority Non-White
2023,5,75,.3256637,1,race-ethnicity,Majority White
2023,5,77,.4564103,1,race-ethnicity,All
2023,5,77,.4797688,1,race-ethnicity,Majority Non-White
2023,5,77,NA,3,race-ethnicity,Majority White
2023,5,79,.3119658,1,race-ethnicity,All
2023,5,79,NA,3,race-ethnicity,Majority Non-White
2023,5,79,.3121951,1,race-ethnicity,Majority White
2023,5,81,.3861111,1,race-ethnicity,All
2023,5,81,NA,3,race-ethnicity,Majority Non-White
2023,5,81,.3861111,1,race-ethnicity,Majority White
2023,5,83,.2943854,1,race-ethnicity,All
2023,5,83,NA,3,race-ethnicity,Majority Non-White
2023,5,83,.2943854,1,race-ethnicity,Majority White
2023,5,85,.2691293,1,race-ethnicity,All
2023,5,85,NA,3,race-ethnicity,Majority Non-White
2023,5,85,.2692816,1,race-ethnicity,Majority White
2023,5,87,.2630273,1,race-ethnicity,All
2023,5,87,NA,3,race-ethnicity,Majority Non-White
2023,5,87,.2630273,1,race-ethnicity,Majority White
2023,5,89,.2561404,1,race-ethnicity,All
2023,5,89,NA,3,race-ethnicity,Majority Non-White
2023,5,89,.2561404,1,race-ethnicity,Majority White
2023,5,91,.4104308,1,race-ethnicity,All
2023,5,91,NA,3,race-ethnicity,Majority Non-White
2023,5,91,.4104308,1,race-ethnicity,Majority White
2023,5,93,.4316988,1,race-ethnicity,All
2023,5,93,.4626866,1,race-ethnicity,Majority Non-White
2023,5,93,.3595166,1,race-ethnicity,Majority White
2023,5,95,.3285024,1,race-ethnicity,All
2023,5,95,NA,3,race-ethnicity,Majority Non-White
2023,5,95,.3277778,1,race-ethnicity,Majority White
2023,5,97,.2579186,1,race-ethnicity,All
2023,5,97,NA,3,race-ethnicity,Majority Non-White
2023,5,97,.2579186,1,race-ethnicity,Majority White
2023,5,99,.4497355,1,race-ethnicity,All
2023,5,99,NA,3,race-ethnicity,Majority Non-White
2023,5,99,.4497355,1,race-ethnicity,Majority White
2023,5,101,.1982759,1,race-ethnicity,All
2023,5,101,NA,3,race-ethnicity,Majority Non-White
2023,5,101,.1982759,1,race-ethnicity,Majority White
2023,5,103,.3628692,1,race-ethnicity,All
2023,5,103,NA,3,race-ethnicity,Majority Non-White
2023,5,103,.3613569,1,race-ethnicity,Majority White
2023,5,105,.2587413,1,race-ethnicity,All
2023,5,105,NA,3,race-ethnicity,Majority Non-White
2023,5,105,.2587413,1,race-ethnicity,Majority White
2023,5,107,.4811715,1,race-ethnicity,All
2023,5,107,.4955947,1,race-ethnicity,Majority Non-White
2023,5,107,NA,3,race-ethnicity,Majority White
2023,5,109,.2591241,1,race-ethnicity,All
2023,5,109,NA,3,race-ethnicity,Majority Non-White
2023,5,109,.2591241,1,race-ethnicity,Majority White
2023,5,111,.3944056,1,race-ethnicity,All
2023,5,111,NA,3,race-ethnicity,Majority Non-White
2023,5,111,.3944056,1,race-ethnicity,Majority White
2023,5,113,.2644068,1,race-ethnicity,All
2023,5,113,NA,3,race-ethnicity,Majority Non-White
2023,5,113,.2644068,1,race-ethnicity,Majority White
2023,5,115,.2540241,1,race-ethnicity,All
2023,5,115,NA,3,race-ethnicity,Majority Non-White
2023,5,115,.2540241,1,race-ethnicity,Majority White
2023,5,117,.2990654,1,race-ethnicity,All
2023,5,117,NA,3,race-ethnicity,Majority Non-White
2023,5,117,.2990654,1,race-ethnicity,Majority White
2023,5,119,.3152741,1,race-ethnicity,All
2023,5,119,.4278176,1,race-ethnicity,Majority Non-White
2023,5,119,.2458166,1,race-ethnicity,Majority White
2023,5,121,.3197782,1,race-ethnicity,All
2023,5,121,NA,3,race-ethnicity,Majority Non-White
2023,5,121,.3197782,1,race-ethnicity,Majority White
2023,5,123,.4416244,1,race-ethnicity,All
2023,5,123,.4787472,1,race-ethnicity,Majority Non-White
2023,5,123,.3263889,1,race-ethnicity,Majority White
2023,5,125,.2358491,1,race-ethnicity,All
2023,5,125,.3448276,1,race-ethnicity,Majority Non-White
