year,state,county,share_student_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,1,91,.1531322,1,race-ethnicity,Majority Non-White
2023,1,91,.1575758,1,race-ethnicity,Majority White
2023,1,93,.0813187,1,race-ethnicity,All
2023,1,93,NA,3,race-ethnicity,Majority Non-White
2023,1,93,.0813187,1,race-ethnicity,Majority White
2023,1,95,.1090426,1,race-ethnicity,All
2023,1,95,NA,3,race-ethnicity,Majority Non-White
2023,1,95,.1090426,1,race-ethnicity,Majority White
2023,1,97,.184484,1,race-ethnicity,All
2023,1,97,.1947517,1,race-ethnicity,Majority Non-White
2023,1,97,.1788569,1,race-ethnicity,Majority White
2023,1,99,.1086956,1,race-ethnicity,All
2023,1,99,.1042184,1,race-ethnicity,Majority Non-White
2023,1,99,.1161826,1,race-ethnicity,Majority White
2023,1,101,.201937,1,race-ethnicity,All
2023,1,101,.2049917,1,race-ethnicity,Majority Non-White
2023,1,101,.1906058,1,race-ethnicity,Majority White
2023,1,103,.1186397,1,race-ethnicity,All
2023,1,103,.1219981,1,race-ethnicity,Majority Non-White
2023,1,103,.1174216,1,race-ethnicity,Majority White
2023,1,105,.1687764,1,race-ethnicity,All
2023,1,105,.1687764,1,race-ethnicity,Majority Non-White
2023,1,105,NA,3,race-ethnicity,Majority White
2023,1,107,.1088929,1,race-ethnicity,All
2023,1,107,.111588,1,race-ethnicity,Majority Non-White
2023,1,107,.1069182,1,race-ethnicity,Majority White
2023,1,109,.1679731,1,race-ethnicity,All
2023,1,109,NA,3,race-ethnicity,Majority Non-White
2023,1,109,.1679731,1,race-ethnicity,Majority White
2023,1,111,.1067961,1,race-ethnicity,All
2023,1,111,NA,3,race-ethnicity,Majority Non-White
2023,1,111,.1067961,1,race-ethnicity,Majority White
2023,1,113,.1998864,1,race-ethnicity,All
2023,1,113,.2193075,1,race-ethnicity,Majority Non-White
2023,1,113,.1774193,1,race-ethnicity,Majority White
2023,1,115,.140625,1,race-ethnicity,All
2023,1,115,NA,3,race-ethnicity,Majority Non-White
2023,1,115,.1406685,1,race-ethnicity,Majority White
2023,1,117,.1778895,1,race-ethnicity,All
2023,1,117,NA,3,race-ethnicity,Majority Non-White
2023,1,117,.1781907,1,race-ethnicity,Majority White
2023,1,119,.1641791,1,race-ethnicity,All
2023,1,119,.1666667,1,race-ethnicity,Majority Non-White
2023,1,119,NA,3,race-ethnicity,Majority White
2023,1,121,.1317798,1,race-ethnicity,All
2023,1,121,.1292135,1,race-ethnicity,Majority Non-White
2023,1,121,.1332083,1,race-ethnicity,Majority White
2023,1,123,.1407407,1,race-ethnicity,All
2023,1,123,.1034483,1,race-ethnicity,Majority Non-White
2023,1,123,.1433096,1,race-ethnicity,Majority White
2023,1,125,.1479725,1,race-ethnicity,All
2023,1,125,.1707317,1,race-ethnicity,Majority Non-White
2023,1,125,.1261607,1,race-ethnicity,Majority White
2023,1,127,.0849772,1,race-ethnicity,All
2023,1,127,NA,3,race-ethnicity,Majority Non-White
2023,1,127,.0849772,1,race-ethnicity,Majority White
2023,1,129,.1262525,1,race-ethnicity,All
2023,1,129,.1503759,1,race-ethnicity,Majority Non-White
2023,1,129,.1174863,1,race-ethnicity,Majority White
2023,1,131,.143662,1,race-ethnicity,All
2023,1,131,.1432836,1,race-ethnicity,Majority Non-White
2023,1,131,NA,3,race-ethnicity,Majority White
2023,1,133,.0969945,1,race-ethnicity,All
2023,1,133,NA,3,race-ethnicity,Majority Non-White
2023,1,133,.0969945,1,race-ethnicity,Majority White
2023,2,13,NA,3,race-ethnicity,All
2023,2,13,NA,3,race-ethnicity,Majority Non-White
2023,2,13,NA,3,race-ethnicity,Majority White
2023,2,16,.0246914,1,race-ethnicity,All
2023,2,16,.0246914,1,race-ethnicity,Majority Non-White
2023,2,16,NA,3,race-ethnicity,Majority White
2023,2,20,.1391968,1,race-ethnicity,All
2023,2,20,.1422156,1,race-ethnicity,Majority Non-White
2023,2,20,.1378345,1,race-ethnicity,Majority White
2023,2,50,.0863309,1,race-ethnicity,All
2023,2,50,.0875912,1,race-ethnicity,Majority Non-White
2023,2,50,NA,3,race-ethnicity,Majority White
2023,2,60,NA,3,race-ethnicity,All
2023,2,60,NA,3,race-ethnicity,Majority Non-White
2023,2,60,NA,3,race-ethnicity,Majority White
2023,2,63,.0819672,1,race-ethnicity,All
2023,2,63,NA,3,race-ethnicity,Majority Non-White
2023,2,63,.08,1,race-ethnicity,Majority White
2023,2,66,.1621622,1,race-ethnicity,All
2023,2,66,NA,3,race-ethnicity,Majority Non-White
2023,2,66,.1643836,1,race-ethnicity,Majority White
2023,2,68,.06,1,race-ethnicity,All
2023,2,68,NA,3,race-ethnicity,Majority Non-White
2023,2,68,.06,1,race-ethnicity,Majority White
2023,2,70,.1157895,1,race-ethnicity,All
2023,2,70,.1157895,1,race-ethnicity,Majority Non-White
2023,2,70,NA,3,race-ethnicity,Majority White
2023,2,90,.1324054,1,race-ethnicity,All
2023,2,90,.0925926,1,race-ethnicity,Majority Non-White
2023,2,90,.1350037,1,race-ethnicity,Majority White
2023,2,100,.0945946,1,race-ethnicity,All
2023,2,100,NA,3,race-ethnicity,Majority Non-White
2023,2,100,.0945946,1,race-ethnicity,Majority White
2023,2,105,.1666667,1,race-ethnicity,All
2023,2,105,NA,3,race-ethnicity,Majority Non-White
2023,2,105,NA,3,race-ethnicity,Majority White
2023,2,110,.1403326,1,race-ethnicity,All
2023,2,110,NA,3,race-ethnicity,Majority Non-White
2023,2,110,.1403326,1,race-ethnicity,Majority White
2023,2,122,.116825,1,race-ethnicity,All
2023,2,122,NA,3,race-ethnicity,Majority Non-White
2023,2,122,.1159664,1,race-ethnicity,Majority White
2023,2,130,.1198257,1,race-ethnicity,All
2023,2,130,NA,3,race-ethnicity,Majority Non-White
2023,2,130,.1198257,1,race-ethnicity,Majority White
2023,2,150,.0764706,1,race-ethnicity,All
2023,2,150,.0764706,1,race-ethnicity,Majority Non-White
2023,2,150,NA,3,race-ethnicity,Majority White
2023,2,158,.0423729,1,race-ethnicity,All
2023,2,158,.0423729,1,race-ethnicity,Majority Non-White
2023,2,158,NA,3,race-ethnicity,Majority White
2023,2,164,NA,3,race-ethnicity,All
2023,2,164,NA,3,race-ethnicity,Majority Non-White
2023,2,164,NA,3,race-ethnicity,Majority White
2023,2,170,.1310391,1,race-ethnicity,All
2023,2,170,NA,3,race-ethnicity,Majority Non-White
2023,2,170,.1310391,1,race-ethnicity,Majority White
2023,2,180,.0792683,1,race-ethnicity,All
2023,2,180,.0792683,1,race-ethnicity,Majority Non-White
2023,2,180,NA,3,race-ethnicity,Majority White
2023,2,185,.0657895,1,race-ethnicity,All
2023,2,185,.0662252,1,race-ethnicity,Majority Non-White
2023,2,185,NA,3,race-ethnicity,Majority White
2023,2,188,.0697674,1,race-ethnicity,All
2023,2,188,.0697674,1,race-ethnicity,Majority Non-White
2023,2,188,NA,3,race-ethnicity,Majority White
2023,2,195,.1444445,1,race-ethnicity,All
2023,2,195,NA,3,race-ethnicity,Majority Non-White
2023,2,195,.1445783,1,race-ethnicity,Majority White
2023,2,198,.0821918,1,race-ethnicity,All
2023,2,198,.0609756,1,race-ethnicity,Majority Non-White
2023,2,198,.109375,1,race-ethnicity,Majority White
2023,2,220,.1091703,1,race-ethnicity,All
2023,2,220,NA,3,race-ethnicity,Majority Non-White
2023,2,220,.1091703,1,race-ethnicity,Majority White
2023,2,230,NA,3,race-ethnicity,All
2023,2,230,NA,3,race-ethnicity,Majority Non-White
2023,2,230,NA,3,race-ethnicity,Majority White
2023,2,240,.1004566,1,race-ethnicity,All
2023,2,240,NA,3,race-ethnicity,Majority Non-White
2023,2,240,.1028037,1,race-ethnicity,Majority White
2023,2,261,NA,3,race-ethnicity,All
2023,2,261,NA,3,race-ethnicity,Majority Non-White
2023,2,261,NA,3,race-ethnicity,Majority White
2023,2,275,.0666667,1,race-ethnicity,All
2023,2,275,NA,3,race-ethnicity,Majority Non-White
2023,2,275,.0666667,1,race-ethnicity,Majority White
2023,2,282,NA,3,race-ethnicity,All
2023,2,282,NA,3,race-ethnicity,Majority Non-White
2023,2,282,NA,3,race-ethnicity,Majority White
2023,2,290,.0736842,1,race-ethnicity,All
2023,2,290,.0862069,1,race-ethnicity,Majority Non-White
2023,2,290,NA,3,race-ethnicity,Majority White
2023,4,1,.1331492,1,race-ethnicity,All
2023,4,1,.1543163,1,race-ethnicity,Majority Non-White
2023,4,1,.0778443,1,race-ethnicity,Majority White
2023,4,3,.09814,1,race-ethnicity,All
2023,4,3,.0810211,1,race-ethnicity,Majority Non-White
2023,4,3,.1029827,1,race-ethnicity,Majority White
2023,4,5,.1652812,1,race-ethnicity,All
2023,4,5,.1304802,1,race-ethnicity,Majority Non-White
2023,4,5,.1766026,1,race-ethnicity,Majority White
2023,4,7,.0793167,1,race-ethnicity,All
2023,4,7,.1135371,1,race-ethnicity,Majority Non-White
2023,4,7,.0737589,1,race-ethnicity,Majority White
2023,4,9,.094,1,race-ethnicity,All
2023,4,9,.0887574,1,race-ethnicity,Majority Non-White
2023,4,9,.1049383,1,race-ethnicity,Majority White
2023,4,11,.0691244,1,race-ethnicity,All
2023,4,11,.0714286,1,race-ethnicity,Majority Non-White
2023,4,11,.0649351,1,race-ethnicity,Majority White
2023,4,12,.0696864,1,race-ethnicity,All
2023,4,12,.0762195,1,race-ethnicity,Majority Non-White
2023,4,12,.0609756,1,race-ethnicity,Majority White
2023,4,13,.1557529,1,race-ethnicity,All
2023,4,13,.159907,1,race-ethnicity,Majority Non-White
2023,4,13,.1532598,1,race-ethnicity,Majority White
2023,4,15,.0773231,1,race-ethnicity,All
2023,4,15,NA,3,race-ethnicity,Majority Non-White
2023,4,15,.0773572,1,race-ethnicity,Majority White
2023,4,17,.095,1,race-ethnicity,All
2023,4,17,.1232449,1,race-ethnicity,Majority Non-White
2023,4,17,.071345,1,race-ethnicity,Majority White
2023,4,19,.1379892,1,race-ethnicity,All
2023,4,19,.133681,1,race-ethnicity,Majority Non-White
2023,4,19,.1403351,1,race-ethnicity,Majority White
2023,4,21,.1553846,1,race-ethnicity,All
2023,4,21,.159759,1,race-ethnicity,Majority Non-White
2023,4,21,.1508183,1,race-ethnicity,Majority White
2023,4,23,.1062608,1,race-ethnicity,All
2023,4,23,.1132813,1,race-ethnicity,Majority Non-White
2023,4,23,.0536585,1,race-ethnicity,Majority White
2023,4,25,.085357,1,race-ethnicity,All
2023,4,25,.0983607,1,race-ethnicity,Majority Non-White
2023,4,25,.0852599,1,race-ethnicity,Majority White
2023,4,27,.0844913,1,race-ethnicity,All
2023,4,27,.0874859,1,race-ethnicity,Majority Non-White
2023,4,27,.0671723,1,race-ethnicity,Majority White
2023,5,1,.0990991,1,race-ethnicity,All
2023,5,1,NA,3,race-ethnicity,Majority Non-White
2023,5,1,.0972477,1,race-ethnicity,Majority White
2023,5,3,.155309,1,race-ethnicity,All
2023,5,3,NA,3,race-ethnicity,Majority Non-White
2023,5,3,.160066,1,race-ethnicity,Majority White
2023,5,5,.1020275,1,race-ethnicity,All
2023,5,5,NA,3,race-ethnicity,Majority Non-White
2023,5,5,.1020275,1,race-ethnicity,Majority White
2023,5,7,.1439748,1,race-ethnicity,All
2023,5,7,.0495868,1,race-ethnicity,Majority Non-White
2023,5,7,.1452323,1,race-ethnicity,Majority White
2023,5,9,.1065375,1,race-ethnicity,All
2023,5,9,NA,3,race-ethnicity,Majority Non-White
2023,5,9,.1065375,1,race-ethnicity,Majority White
2023,5,11,.1540881,1,race-ethnicity,All
2023,5,11,NA,3,race-ethnicity,Majority Non-White
2023,5,11,.1540881,1,race-ethnicity,Majority White
2023,5,13,.1615385,1,race-ethnicity,All
2023,5,13,NA,3,race-ethnicity,Majority Non-White
2023,5,13,.1452992,1,race-ethnicity,Majority White
2023,5,15,.0759494,1,race-ethnicity,All
2023,5,15,NA,3,race-ethnicity,Majority Non-White
2023,5,15,.0759494,1,race-ethnicity,Majority White
2023,5,17,.1585761,1,race-ethnicity,All
2023,5,17,.1528662,1,race-ethnicity,Majority Non-White
2023,5,17,.1644737,1,race-ethnicity,Majority White
2023,5,19,.1677524,1,race-ethnicity,All
2023,5,19,NA,3,race-ethnicity,Majority Non-White
2023,5,19,.1610738,1,race-ethnicity,Majority White
2023,5,21,.1106095,1,race-ethnicity,All
2023,5,21,NA,3,race-ethnicity,Majority Non-White
2023,5,21,.1106095,1,race-ethnicity,Majority White
2023,5,23,.1031579,1,race-ethnicity,All
2023,5,23,NA,3,race-ethnicity,Majority Non-White
2023,5,23,.1031579,1,race-ethnicity,Majority White
2023,5,25,.1314554,1,race-ethnicity,All
2023,5,25,NA,3,race-ethnicity,Majority Non-White
2023,5,25,.1314554,1,race-ethnicity,Majority White
2023,5,27,.1695906,1,race-ethnicity,All
2023,5,27,NA,3,race-ethnicity,Majority Non-White
2023,5,27,.1708395,1,race-ethnicity,Majority White
2023,5,29,.1139818,1,race-ethnicity,All
2023,5,29,NA,3,race-ethnicity,Majority Non-White
2023,5,29,.1150307,1,race-ethnicity,Majority White
2023,5,31,.1967509,1,race-ethnicity,All
2023,5,31,NA,3,race-ethnicity,Majority Non-White
2023,5,31,.1967509,1,race-ethnicity,Majority White
2023,5,33,.1427083,1,race-ethnicity,All
2023,5,33,NA,3,race-ethnicity,Majority Non-White
2023,5,33,.1427827,1,race-ethnicity,Majority White
2023,5,35,.1945763,1,race-ethnicity,All
2023,5,35,.1948052,1,race-ethnicity,Majority Non-White
2023,5,35,.1942675,1,race-ethnicity,Majority White
2023,5,37,.1644613,1,race-ethnicity,All
2023,5,37,NA,3,race-ethnicity,Majority Non-White
2023,5,37,.1696607,1,race-ethnicity,Majority White
2023,5,39,.1088083,1,race-ethnicity,All
2023,5,39,.1266667,1,race-ethnicity,Majority Non-White
2023,5,39,NA,3,race-ethnicity,Majority White
2023,5,41,.1724138,1,race-ethnicity,All
2023,5,41,.1272727,1,race-ethnicity,Majority Non-White
2023,5,41,.2222222,1,race-ethnicity,Majority White
2023,5,43,.1499118,1,race-ethnicity,All
2023,5,43,NA,3,race-ethnicity,Majority Non-White
2023,5,43,.1507353,1,race-ethnicity,Majority White
2023,5,45,.2017773,1,race-ethnicity,All
2023,5,45,NA,3,race-ethnicity,Majority Non-White
2023,5,45,.2017773,1,race-ethnicity,Majority White
2023,5,47,.1252525,1,race-ethnicity,All
2023,5,47,NA,3,race-ethnicity,Majority Non-White
2023,5,47,.1252525,1,race-ethnicity,Majority White
2023,5,49,.0890805,1,race-ethnicity,All
2023,5,49,NA,3,race-ethnicity,Majority Non-White
2023,5,49,.0895954,1,race-ethnicity,Majority White
2023,5,51,.1350769,1,race-ethnicity,All
2023,5,51,NA,3,race-ethnicity,Majority Non-White
2023,5,51,.1350769,1,race-ethnicity,Majority White
2023,5,53,.1654804,1,race-ethnicity,All
2023,5,53,NA,3,race-ethnicity,Majority Non-White
2023,5,53,.1663685,1,race-ethnicity,Majority White
2023,5,55,.1232777,1,race-ethnicity,All
2023,5,55,NA,3,race-ethnicity,Majority Non-White
2023,5,55,.1232777,1,race-ethnicity,Majority White
2023,5,57,.1045959,1,race-ethnicity,All
2023,5,57,NA,3,race-ethnicity,Majority Non-White
2023,5,57,.1052632,1,race-ethnicity,Majority White
2023,5,59,.1277778,1,race-ethnicity,All
2023,5,59,NA,3,race-ethnicity,Majority Non-White
2023,5,59,.1277778,1,race-ethnicity,Majority White
2023,5,61,.1034483,1,race-ethnicity,All
2023,5,61,.1594203,1,race-ethnicity,Majority Non-White
2023,5,61,.0928962,1,race-ethnicity,Majority White
2023,5,63,.1420068,1,race-ethnicity,All
2023,5,63,NA,3,race-ethnicity,Majority Non-White
2023,5,63,.1420068,1,race-ethnicity,Majority White
2023,5,65,.1038576,1,race-ethnicity,All
2023,5,65,NA,3,race-ethnicity,Majority Non-White
2023,5,65,.1038576,1,race-ethnicity,Majority White
2023,5,67,.1099366,1,race-ethnicity,All
2023,5,67,NA,3,race-ethnicity,Majority Non-White
2023,5,67,.1099366,1,race-ethnicity,Majority White
2023,5,69,.1802355,1,race-ethnicity,All
2023,5,69,.1931649,1,race-ethnicity,Majority Non-White
2023,5,69,.1515651,1,race-ethnicity,Majority White
2023,5,71,.120178,1,race-ethnicity,All
2023,5,71,NA,3,race-ethnicity,Majority Non-White
2023,5,71,.120178,1,race-ethnicity,Majority White
2023,5,73,.1365854,1,race-ethnicity,All
2023,5,73,.1351351,1,race-ethnicity,Majority Non-White
2023,5,73,.1374046,1,race-ethnicity,Majority White
2023,5,75,.1132743,1,race-ethnicity,All
2023,5,75,NA,3,race-ethnicity,Majority Non-White
2023,5,75,.1132743,1,race-ethnicity,Majority White
2023,5,77,.1384615,1,race-ethnicity,All
2023,5,77,.1445087,1,race-ethnicity,Majority Non-White
2023,5,77,NA,3,race-ethnicity,Majority White
2023,5,79,.1239316,1,race-ethnicity,All
2023,5,79,NA,3,race-ethnicity,Majority Non-White
2023,5,79,.1268293,1,race-ethnicity,Majority White
2023,5,81,.0861111,1,race-ethnicity,All
2023,5,81,NA,3,race-ethnicity,Majority Non-White
2023,5,81,.0861111,1,race-ethnicity,Majority White
2023,5,83,.1198786,1,race-ethnicity,All
2023,5,83,NA,3,race-ethnicity,Majority Non-White
2023,5,83,.1198786,1,race-ethnicity,Majority White
2023,5,85,.175022,1,race-ethnicity,All
2023,5,85,NA,3,race-ethnicity,Majority Non-White
2023,5,85,.1749669,1,race-ethnicity,Majority White
2023,5,87,.1116625,1,race-ethnicity,All
2023,5,87,NA,3,race-ethnicity,Majority Non-White
2023,5,87,.1116625,1,race-ethnicity,Majority White
2023,5,89,.0859649,1,race-ethnicity,All
2023,5,89,NA,3,race-ethnicity,Majority Non-White
2023,5,89,.0859649,1,race-ethnicity,Majority White
2023,5,91,.138322,1,race-ethnicity,All
2023,5,91,NA,3,race-ethnicity,Majority Non-White
2023,5,91,.138322,1,race-ethnicity,Majority White
2023,5,93,.117338,1,race-ethnicity,All
2023,5,93,.1181592,1,race-ethnicity,Majority Non-White
2023,5,93,.1178248,1,race-ethnicity,Majority White
2023,5,95,.115942,1,race-ethnicity,All
2023,5,95,NA,3,race-ethnicity,Majority Non-White
2023,5,95,.1277778,1,race-ethnicity,Majority White
2023,5,97,.0769231,1,race-ethnicity,All
2023,5,97,NA,3,race-ethnicity,Majority Non-White
2023,5,97,.0769231,1,race-ethnicity,Majority White
2023,5,99,.1111111,1,race-ethnicity,All
2023,5,99,NA,3,race-ethnicity,Majority Non-White
2023,5,99,.1111111,1,race-ethnicity,Majority White
2023,5,101,.1077586,1,race-ethnicity,All
2023,5,101,NA,3,race-ethnicity,Majority Non-White
2023,5,101,.1077586,1,race-ethnicity,Majority White
2023,5,103,.140647,1,race-ethnicity,All
2023,5,103,NA,3,race-ethnicity,Majority Non-White
2023,5,103,.1445428,1,race-ethnicity,Majority White
2023,5,105,.1293706,1,race-ethnicity,All
2023,5,105,NA,3,race-ethnicity,Majority Non-White
2023,5,105,.1293706,1,race-ethnicity,Majority White
2023,5,107,.1610879,1,race-ethnicity,All
2023,5,107,.1585903,1,race-ethnicity,Majority Non-White
2023,5,107,NA,3,race-ethnicity,Majority White
2023,5,109,.1131387,1,race-ethnicity,All
2023,5,109,NA,3,race-ethnicity,Majority Non-White
2023,5,109,.1131387,1,race-ethnicity,Majority White
2023,5,111,.1076923,1,race-ethnicity,All
2023,5,111,NA,3,race-ethnicity,Majority Non-White
2023,5,111,.1076923,1,race-ethnicity,Majority White
2023,5,113,.1016949,1,race-ethnicity,All
2023,5,113,NA,3,race-ethnicity,Majority Non-White
2023,5,113,.1016949,1,race-ethnicity,Majority White
2023,5,115,.1483903,1,race-ethnicity,All
2023,5,115,NA,3,race-ethnicity,Majority Non-White
2023,5,115,.1483903,1,race-ethnicity,Majority White
2023,5,117,.0934579,1,race-ethnicity,All
2023,5,117,NA,3,race-ethnicity,Majority Non-White
2023,5,117,.0934579,1,race-ethnicity,Majority White
2023,5,119,.214624,1,race-ethnicity,All
2023,5,119,.226889,1,race-ethnicity,Majority Non-White
2023,5,119,.2070307,1,race-ethnicity,Majority White
2023,5,121,.116451,1,race-ethnicity,All
2023,5,121,NA,3,race-ethnicity,Majority Non-White
2023,5,121,.116451,1,race-ethnicity,Majority White
2023,5,123,.108291,1,race-ethnicity,All
2023,5,123,.1208054,1,race-ethnicity,Majority Non-White
2023,5,123,.0694444,1,race-ethnicity,Majority White
2023,5,125,.1797552,1,race-ethnicity,All
2023,5,125,.1609195,1,race-ethnicity,Majority Non-White
