year,state,county,share_auto_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,1,127,NA,3,race-ethnicity,Majority Non-White
2023,1,127,.0813008,1,race-ethnicity,Majority White
2023,1,129,.0616114,1,race-ethnicity,All
2023,1,129,.0819672,1,race-ethnicity,Majority Non-White
2023,1,129,.0533333,1,race-ethnicity,Majority White
2023,1,131,.1337209,1,race-ethnicity,All
2023,1,131,.1242236,1,race-ethnicity,Majority Non-White
2023,1,131,NA,3,race-ethnicity,Majority White
2023,1,133,.061017,1,race-ethnicity,All
2023,1,133,NA,3,race-ethnicity,Majority Non-White
2023,1,133,.061017,1,race-ethnicity,Majority White
2023,2,13,NA,3,race-ethnicity,All
2023,2,13,NA,3,race-ethnicity,Majority Non-White
2023,2,13,NA,3,race-ethnicity,Majority White
2023,2,16,NA,3,race-ethnicity,All
2023,2,16,NA,3,race-ethnicity,Majority Non-White
2023,2,16,NA,3,race-ethnicity,Majority White
2023,2,20,.0423814,1,race-ethnicity,All
2023,2,20,.0606061,1,race-ethnicity,Majority Non-White
2023,2,20,.034163,1,race-ethnicity,Majority White
2023,2,50,.0704225,1,race-ethnicity,All
2023,2,50,.0704225,1,race-ethnicity,Majority Non-White
2023,2,50,NA,3,race-ethnicity,Majority White
2023,2,60,NA,3,race-ethnicity,All
2023,2,60,NA,3,race-ethnicity,Majority Non-White
2023,2,60,NA,3,race-ethnicity,Majority White
2023,2,63,.0178571,1,race-ethnicity,All
2023,2,63,NA,3,race-ethnicity,Majority Non-White
2023,2,63,.0178571,1,race-ethnicity,Majority White
2023,2,66,NA,3,race-ethnicity,All
2023,2,66,NA,3,race-ethnicity,Majority Non-White
2023,2,66,NA,3,race-ethnicity,Majority White
2023,2,68,NA,3,race-ethnicity,All
2023,2,68,NA,3,race-ethnicity,Majority Non-White
2023,2,68,NA,3,race-ethnicity,Majority White
2023,2,70,NA,3,race-ethnicity,All
2023,2,70,NA,3,race-ethnicity,Majority Non-White
2023,2,70,NA,3,race-ethnicity,Majority White
2023,2,90,.0203001,1,race-ethnicity,All
2023,2,90,NA,3,race-ethnicity,Majority Non-White
2023,2,90,.020073,1,race-ethnicity,Majority White
2023,2,100,NA,3,race-ethnicity,All
2023,2,100,NA,3,race-ethnicity,Majority Non-White
2023,2,100,NA,3,race-ethnicity,Majority White
2023,2,105,NA,3,race-ethnicity,All
2023,2,105,NA,3,race-ethnicity,Majority Non-White
2023,2,105,NA,3,race-ethnicity,Majority White
2023,2,110,.02589,1,race-ethnicity,All
2023,2,110,NA,3,race-ethnicity,Majority Non-White
2023,2,110,.02589,1,race-ethnicity,Majority White
2023,2,122,.0267857,1,race-ethnicity,All
2023,2,122,NA,3,race-ethnicity,Majority Non-White
2023,2,122,.0268817,1,race-ethnicity,Majority White
2023,2,130,.0074627,1,race-ethnicity,All
2023,2,130,NA,3,race-ethnicity,Majority Non-White
2023,2,130,.0074627,1,race-ethnicity,Majority White
2023,2,150,.0252101,1,race-ethnicity,All
2023,2,150,.0252101,1,race-ethnicity,Majority Non-White
2023,2,150,NA,3,race-ethnicity,Majority White
2023,2,158,NA,3,race-ethnicity,All
2023,2,158,NA,3,race-ethnicity,Majority Non-White
2023,2,158,NA,3,race-ethnicity,Majority White
2023,2,164,NA,3,race-ethnicity,All
2023,2,164,NA,3,race-ethnicity,Majority Non-White
2023,2,164,NA,3,race-ethnicity,Majority White
2023,2,170,.0319234,1,race-ethnicity,All
2023,2,170,NA,3,race-ethnicity,Majority Non-White
2023,2,170,.0319234,1,race-ethnicity,Majority White
2023,2,180,.06,1,race-ethnicity,All
2023,2,180,.06,1,race-ethnicity,Majority Non-White
2023,2,180,NA,3,race-ethnicity,Majority White
2023,2,185,.0185185,1,race-ethnicity,All
2023,2,185,.0185185,1,race-ethnicity,Majority Non-White
2023,2,185,NA,3,race-ethnicity,Majority White
2023,2,188,NA,3,race-ethnicity,All
2023,2,188,NA,3,race-ethnicity,Majority Non-White
2023,2,188,NA,3,race-ethnicity,Majority White
2023,2,195,NA,3,race-ethnicity,All
2023,2,195,NA,3,race-ethnicity,Majority Non-White
2023,2,195,NA,3,race-ethnicity,Majority White
2023,2,198,NA,3,race-ethnicity,All
2023,2,198,NA,3,race-ethnicity,Majority Non-White
2023,2,198,NA,3,race-ethnicity,Majority White
2023,2,220,NA,3,race-ethnicity,All
2023,2,220,NA,3,race-ethnicity,Majority Non-White
2023,2,220,NA,3,race-ethnicity,Majority White
2023,2,230,NA,3,race-ethnicity,All
2023,2,230,NA,3,race-ethnicity,Majority Non-White
2023,2,230,NA,3,race-ethnicity,Majority White
2023,2,240,.0121951,1,race-ethnicity,All
2023,2,240,NA,3,race-ethnicity,Majority Non-White
2023,2,240,0,1,race-ethnicity,Majority White
2023,2,261,NA,3,race-ethnicity,All
2023,2,261,NA,3,race-ethnicity,Majority Non-White
2023,2,261,NA,3,race-ethnicity,Majority White
2023,2,275,NA,3,race-ethnicity,All
2023,2,275,NA,3,race-ethnicity,Majority Non-White
2023,2,275,NA,3,race-ethnicity,Majority White
2023,2,282,NA,3,race-ethnicity,All
2023,2,282,NA,3,race-ethnicity,Majority Non-White
2023,2,282,NA,3,race-ethnicity,Majority White
2023,2,290,NA,3,race-ethnicity,All
2023,2,290,NA,3,race-ethnicity,Majority Non-White
2023,2,290,NA,3,race-ethnicity,Majority White
2023,4,1,.1562156,1,race-ethnicity,All
2023,4,1,.1880223,1,race-ethnicity,Majority Non-White
2023,4,1,.0366492,1,race-ethnicity,Majority White
2023,4,3,.0408998,1,race-ethnicity,All
2023,4,3,.054878,1,race-ethnicity,Majority Non-White
2023,4,3,.0368745,1,race-ethnicity,Majority White
2023,4,5,.0688976,1,race-ethnicity,All
2023,4,5,.1438356,1,race-ethnicity,Majority Non-White
2023,4,5,.0388529,1,race-ethnicity,Majority White
2023,4,7,.0424028,1,race-ethnicity,All
2023,4,7,.045977,1,race-ethnicity,Majority Non-White
2023,4,7,.0417537,1,race-ethnicity,Majority White
2023,4,9,.0964126,1,race-ethnicity,All
2023,4,9,.1241379,1,race-ethnicity,Majority Non-White
2023,4,9,.0448718,1,race-ethnicity,Majority White
2023,4,11,.0877193,1,race-ethnicity,All
2023,4,11,.0779221,1,race-ethnicity,Majority Non-White
2023,4,11,NA,3,race-ethnicity,Majority White
2023,4,12,.052381,1,race-ethnicity,All
2023,4,12,.047619,1,race-ethnicity,Majority Non-White
2023,4,12,.0595238,1,race-ethnicity,Majority White
2023,4,13,.0502068,1,race-ethnicity,All
2023,4,13,.073216,1,race-ethnicity,Majority Non-White
2023,4,13,.035443,1,race-ethnicity,Majority White
2023,4,15,.0513484,1,race-ethnicity,All
2023,4,15,NA,3,race-ethnicity,Majority Non-White
2023,4,15,.0502606,1,race-ethnicity,Majority White
2023,4,17,.1076555,1,race-ethnicity,All
2023,4,17,.1838352,1,race-ethnicity,Majority Non-White
2023,4,17,.0305466,1,race-ethnicity,Majority White
2023,4,19,.0508283,1,race-ethnicity,All
2023,4,19,.0701073,1,race-ethnicity,Majority Non-White
2023,4,19,.0389138,1,race-ethnicity,Majority White
2023,4,21,.0491346,1,race-ethnicity,All
2023,4,21,.070197,1,race-ethnicity,Majority Non-White
2023,4,21,.0365457,1,race-ethnicity,Majority White
2023,4,23,.0489731,1,race-ethnicity,All
2023,4,23,.0550622,1,race-ethnicity,Majority Non-White
2023,4,23,0,1,race-ethnicity,Majority White
2023,4,25,.0334068,1,race-ethnicity,All
2023,4,25,NA,3,race-ethnicity,Majority Non-White
2023,4,25,.0327503,1,race-ethnicity,Majority White
2023,4,27,.0397638,1,race-ethnicity,All
2023,4,27,.0412886,1,race-ethnicity,Majority Non-White
2023,4,27,.0297619,1,race-ethnicity,Majority White
2023,5,1,.0934579,1,race-ethnicity,All
2023,5,1,NA,3,race-ethnicity,Majority Non-White
2023,5,1,.0869565,1,race-ethnicity,Majority White
2023,5,3,.0671141,1,race-ethnicity,All
2023,5,3,NA,3,race-ethnicity,Majority Non-White
2023,5,3,.0699301,1,race-ethnicity,Majority White
2023,5,5,.0413534,1,race-ethnicity,All
2023,5,5,NA,3,race-ethnicity,Majority Non-White
2023,5,5,.0413534,1,race-ethnicity,Majority White
2023,5,7,.0442241,1,race-ethnicity,All
2023,5,7,.0980392,1,race-ethnicity,Majority Non-White
2023,5,7,.0434783,1,race-ethnicity,Majority White
2023,5,9,.0447471,1,race-ethnicity,All
2023,5,9,NA,3,race-ethnicity,Majority Non-White
2023,5,9,.0447471,1,race-ethnicity,Majority White
2023,5,11,.0794702,1,race-ethnicity,All
2023,5,11,NA,3,race-ethnicity,Majority Non-White
2023,5,11,.0794702,1,race-ethnicity,Majority White
2023,5,13,.0746269,1,race-ethnicity,All
2023,5,13,NA,3,race-ethnicity,Majority Non-White
2023,5,13,.0655738,1,race-ethnicity,Majority White
2023,5,15,.0413223,1,race-ethnicity,All
2023,5,15,NA,3,race-ethnicity,Majority Non-White
2023,5,15,.0413223,1,race-ethnicity,Majority White
2023,5,17,.1452992,1,race-ethnicity,All
2023,5,17,.2641509,1,race-ethnicity,Majority Non-White
2023,5,17,.046875,1,race-ethnicity,Majority White
2023,5,19,.0411523,1,race-ethnicity,All
2023,5,19,NA,3,race-ethnicity,Majority Non-White
2023,5,19,.0425532,1,race-ethnicity,Majority White
2023,5,21,.0575916,1,race-ethnicity,All
2023,5,21,NA,3,race-ethnicity,Majority Non-White
2023,5,21,.0575916,1,race-ethnicity,Majority White
2023,5,23,.0481928,1,race-ethnicity,All
2023,5,23,NA,3,race-ethnicity,Majority Non-White
2023,5,23,.0481928,1,race-ethnicity,Majority White
2023,5,25,.0761905,1,race-ethnicity,All
2023,5,25,NA,3,race-ethnicity,Majority Non-White
2023,5,25,.0761905,1,race-ethnicity,Majority White
2023,5,27,.0916667,1,race-ethnicity,All
2023,5,27,NA,3,race-ethnicity,Majority Non-White
2023,5,27,.092437,1,race-ethnicity,Majority White
2023,5,29,.0614887,1,race-ethnicity,All
2023,5,29,NA,3,race-ethnicity,Majority Non-White
2023,5,29,.0620915,1,race-ethnicity,Majority White
2023,5,31,.065407,1,race-ethnicity,All
2023,5,31,NA,3,race-ethnicity,Majority Non-White
2023,5,31,.065407,1,race-ethnicity,Majority White
2023,5,33,.0566265,1,race-ethnicity,All
2023,5,33,NA,3,race-ethnicity,Majority Non-White
2023,5,33,.0566265,1,race-ethnicity,Majority White
2023,5,35,.1491228,1,race-ethnicity,All
2023,5,35,.173913,1,race-ethnicity,Majority Non-White
2023,5,35,.1217712,1,race-ethnicity,Majority White
2023,5,37,.0776256,1,race-ethnicity,All
2023,5,37,NA,3,race-ethnicity,Majority Non-White
2023,5,37,.0813397,1,race-ethnicity,Majority White
2023,5,39,.1547619,1,race-ethnicity,All
2023,5,39,.1846154,1,race-ethnicity,Majority Non-White
2023,5,39,NA,3,race-ethnicity,Majority White
2023,5,41,.1166667,1,race-ethnicity,All
2023,5,41,.0819672,1,race-ethnicity,Majority Non-White
2023,5,41,.1551724,1,race-ethnicity,Majority White
2023,5,43,.0781893,1,race-ethnicity,All
2023,5,43,NA,3,race-ethnicity,Majority Non-White
2023,5,43,.0805085,1,race-ethnicity,Majority White
2023,5,45,.0571945,1,race-ethnicity,All
2023,5,45,NA,3,race-ethnicity,Majority Non-White
2023,5,45,.0571945,1,race-ethnicity,Majority White
2023,5,47,.0456621,1,race-ethnicity,All
2023,5,47,NA,3,race-ethnicity,Majority Non-White
2023,5,47,.0456621,1,race-ethnicity,Majority White
2023,5,49,.015873,1,race-ethnicity,All
2023,5,49,NA,3,race-ethnicity,Majority Non-White
2023,5,49,.015873,1,race-ethnicity,Majority White
2023,5,51,.0374771,1,race-ethnicity,All
2023,5,51,NA,3,race-ethnicity,Majority Non-White
2023,5,51,.0374771,1,race-ethnicity,Majority White
2023,5,53,.0836364,1,race-ethnicity,All
2023,5,53,NA,3,race-ethnicity,Majority Non-White
2023,5,53,.0839416,1,race-ethnicity,Majority White
2023,5,55,.0641248,1,race-ethnicity,All
2023,5,55,NA,3,race-ethnicity,Majority Non-White
2023,5,55,.0641248,1,race-ethnicity,Majority White
2023,5,57,.0899281,1,race-ethnicity,All
2023,5,57,NA,3,race-ethnicity,Majority Non-White
2023,5,57,.0898438,1,race-ethnicity,Majority White
2023,5,59,.0596591,1,race-ethnicity,All
2023,5,59,NA,3,race-ethnicity,Majority Non-White
2023,5,59,.0596591,1,race-ethnicity,Majority White
2023,5,61,.0430108,1,race-ethnicity,All
2023,5,61,NA,3,race-ethnicity,Majority Non-White
2023,5,61,.0379747,1,race-ethnicity,Majority White
2023,5,63,.0674603,1,race-ethnicity,All
2023,5,63,NA,3,race-ethnicity,Majority Non-White
2023,5,63,.0674603,1,race-ethnicity,Majority White
2023,5,65,.0390625,1,race-ethnicity,All
2023,5,65,NA,3,race-ethnicity,Majority Non-White
2023,5,65,.0390625,1,race-ethnicity,Majority White
2023,5,67,.0773196,1,race-ethnicity,All
2023,5,67,NA,3,race-ethnicity,Majority Non-White
2023,5,67,.0773196,1,race-ethnicity,Majority White
2023,5,69,.1083333,1,race-ethnicity,All
2023,5,69,.1390042,1,race-ethnicity,Majority Non-White
2023,5,69,.0462185,1,race-ethnicity,Majority White
2023,5,71,.0758621,1,race-ethnicity,All
2023,5,71,NA,3,race-ethnicity,Majority Non-White
2023,5,71,.0758621,1,race-ethnicity,Majority White
2023,5,73,.0879121,1,race-ethnicity,All
2023,5,73,NA,3,race-ethnicity,Majority Non-White
2023,5,73,.078125,1,race-ethnicity,Majority White
2023,5,75,.046083,1,race-ethnicity,All
2023,5,75,NA,3,race-ethnicity,Majority Non-White
2023,5,75,.046083,1,race-ethnicity,Majority White
2023,5,77,.1363636,1,race-ethnicity,All
2023,5,77,.1551724,1,race-ethnicity,Majority Non-White
2023,5,77,NA,3,race-ethnicity,Majority White
2023,5,79,.050505,1,race-ethnicity,All
2023,5,79,NA,3,race-ethnicity,Majority Non-White
2023,5,79,.0574713,1,race-ethnicity,Majority White
2023,5,81,.0839161,1,race-ethnicity,All
2023,5,81,NA,3,race-ethnicity,Majority Non-White
2023,5,81,.0839161,1,race-ethnicity,Majority White
2023,5,83,.0669145,1,race-ethnicity,All
2023,5,83,NA,3,race-ethnicity,Majority Non-White
2023,5,83,.0669145,1,race-ethnicity,Majority White
2023,5,85,.0494604,1,race-ethnicity,All
2023,5,85,NA,3,race-ethnicity,Majority Non-White
2023,5,85,.0495495,1,race-ethnicity,Majority White
2023,5,87,.0638298,1,race-ethnicity,All
2023,5,87,NA,3,race-ethnicity,Majority Non-White
2023,5,87,.0638298,1,race-ethnicity,Majority White
2023,5,89,.0469484,1,race-ethnicity,All
2023,5,89,NA,3,race-ethnicity,Majority Non-White
2023,5,89,.0469484,1,race-ethnicity,Majority White
2023,5,91,.0873606,1,race-ethnicity,All
2023,5,91,NA,3,race-ethnicity,Majority Non-White
2023,5,91,.0873606,1,race-ethnicity,Majority White
2023,5,93,.1105991,1,race-ethnicity,All
2023,5,93,.1378092,1,race-ethnicity,Majority Non-White
2023,5,93,.0596026,1,race-ethnicity,Majority White
2023,5,95,.1170213,1,race-ethnicity,All
2023,5,95,NA,3,race-ethnicity,Majority Non-White
2023,5,95,.1125,1,race-ethnicity,Majority White
2023,5,97,.0941176,1,race-ethnicity,All
2023,5,97,NA,3,race-ethnicity,Majority Non-White
2023,5,97,.0941176,1,race-ethnicity,Majority White
2023,5,99,.0963855,1,race-ethnicity,All
2023,5,99,NA,3,race-ethnicity,Majority Non-White
2023,5,99,.0963855,1,race-ethnicity,Majority White
2023,5,101,.0306122,1,race-ethnicity,All
2023,5,101,NA,3,race-ethnicity,Majority Non-White
2023,5,101,.0306122,1,race-ethnicity,Majority White
2023,5,103,.0745763,1,race-ethnicity,All
2023,5,103,NA,3,race-ethnicity,Majority Non-White
2023,5,103,.075,1,race-ethnicity,Majority White
2023,5,105,.0603448,1,race-ethnicity,All
2023,5,105,NA,3,race-ethnicity,Majority Non-White
2023,5,105,.0603448,1,race-ethnicity,Majority White
