cityname,state,population2020,statename,state_abbr,ec_zip,ec_se_zip,data_quality
Orlando city,12,307674,Florida,FL,0.8545869870309478,0.012719812494719535,3
Overland Park city,20,197295,Kansas,KS,1.174379143537231,0.022772177439208903,3
Palm Bay city,12,119874,Florida,FL,0.7658210001810919,0.012231818908388816,3
Palm Coast city,12,89310,Florida,FL,0.8594342591458207,0.012800427161683954,3
Parma city,39,81047,Ohio,OH,0.8618745653600359,0.012180234023402339,3
Pasadena city,48,151955,Texas,TX,0.7289215359744597,0.013601237769155207,3
Pasco city,53,77579,Washington,WA,0.6352041575949368,0.012634050632911393,3
Paterson city,34,159674,New Jersey,NJ,0.5688907931349455,0.012520008808382407,3
Pawtucket city,44,75842,Rhode Island,RI,0.7824912906010363,0.01124231078580311,3
Pearland city,48,125944,Texas,TX,0.8346686789732143,0.015193314729910716,3
Pembroke Pines city,12,171163,Florida,FL,0.926149376844904,0.01503194948774003,3
Peoria city,17,113173,Illinois,IL,0.6728981436874344,0.019860922313265663,3
Pharr city,48,79779,Texas,TX,0.5233259596366083,0.009853970390309554,3
Philadelphia city,42,1603797,Pennsylvania,PA,0.8339686358513554,0.014681760217505765,3
Pittsburgh city,42,303160,Pennsylvania,PA,0.8993678178796413,0.017251790306946183,3
Plano city,48,285900,Texas,TX,1.087660887215169,0.01699627898506183,3
Plantation city,12,91736,Florida,FL,0.8423776327599243,0.013406605040226843,3
Plymouth city,27,81181,Minnesota,MN,1.1253662730973453,0.02745924879949431,3
Pompano Beach city,12,112117,Florida,FL,0.6933660784280833,0.013471292571916744,3
Port St. Lucie city,12,204913,Florida,FL,0.7818922450953794,0.012416716914412887,3
Portland city,41,652089,Oregon,OR,1.0285509694090873,0.01743763662614809,3
Portsmouth city,51,97915,Virginia,VA,0.6797127391136957,0.010253242370282734,3
Providence city,44,190284,Rhode Island,RI,0.7538770455350978,0.013984175896958736,3
Provo city,49,114189,Utah,UT,1.1327023104912068,0.015197610673135234,3
Quincy city,25,101685,Massachusetts,MA,1.2449198452374253,0.01982398236088639,3
Racine city,55,77775,Wisconsin,WI,0.6544532638173179,0.012280971488912355,3
Raleigh city,37,467592,North Carolina,NC,0.9712867528247401,0.01743441655005995,3
Reading city,42,95097,Pennsylvania,PA,0.5576068226824644,0.012225683824644548,3
Reno city,32,263436,Nevada,NV,0.8520714509669848,0.017754055644656548,3
Renton city,53,106966,Washington,WA,1.0057534281467182,0.019960282901222648,3
Richardson city,48,117973,Texas,TX,0.9538400803436657,0.01664201786185984,3
Richmond city,51,226610,Virginia,VA,0.8834526571430594,0.014427837119844194,3
Rio Rancho city,35,103977,New Mexico,NM,0.8216991732504779,0.011856367096749521,3
Roanoke city,51,100011,Virginia,VA,0.7474130785279188,0.01766182402707276,3
Rochester city,27,121244,Minnesota,MN,1.111690359852941,0.015872831172794116,3
Rochester city,36,211233,New York,NY,0.6348536242734233,0.017378583777867232,3
Rochester Hills city,26,76293,Michigan,MI,1.10817372,0.0232477000005,3
Rockford city,17,149009,Illinois,IL,0.6496207060148286,0.012658598239110287,3
Roswell city,13,92892,Georgia,GA,0.8744852564076636,0.01632232608994146,3
Round Rock city,48,119519,Texas,TX,1.000210951206107,0.01406237659033079,3
Salem city,41,175432,Oregon,OR,0.7696153261937377,0.012426501956947163,3
Salt Lake City city,49,198746,Utah,UT,1.0882796556638525,0.019136293278587874,3
San Angelo city,48,100006,Texas,TX,0.9266418546598821,0.026942966818425278,3
San Antonio city,48,1434270,Texas,TX,0.7221496876524384,0.01346524288674419,3
Sandy city,49,97430,Utah,UT,1.151986137636844,0.017555878057757643,3
Sandy Springs city,13,108134,Georgia,GA,0.9339524212946575,0.013903536531956735,3
Santa Fe city,35,87497,New Mexico,NM,0.6255884100645159,0.01359501075268817,3
Savannah city,13,148095,Georgia,GA,0.5895655772894483,0.010653361544482093,3
Schaumburg village,17,78691,Illinois,IL,1.1013678052222222,0.02054556988198198,3
Scranton city,42,76110,Pennsylvania,PA,0.8023429428371348,0.020285822469787912,3
Seattle city,53,735157,Washington,WA,1.2488661546375723,0.025672404779917467,3
Shreveport city,22,187993,Louisiana,LA,0.5416524310214703,0.01129388947785296,3
Sioux City city,19,85731,Iowa,IA,0.7240768549267588,0.02214945550216629,3
Sioux Falls city,46,192683,South Dakota,SD,0.9157687468046317,0.015207612712490761,3
Somerville city,25,81054,Massachusetts,MA,1.2632455739607582,0.02506561755636847,3
South Bend city,18,103675,Indiana,IN,0.6796790159262336,0.016460584614720053,3
South Fulton city,13,107524,Georgia,GA,0.6371990915686274,0.008459608011445508,3
South Jordan city,49,77661,Utah,UT,1.2215312334352701,0.01632310907237513,3
Southfield city,26,76579,Michigan,MI,0.6901938797989419,0.012102552909788362,3
