year,statefips,place,socassn,data_quality
2020,53,67167,1.2,2
2020,13,67284,4.5,2
2020,49,67440,1.3,2
2020,06,68000,0.2,1
2020,51,68000,2.3,1
2020,17,68003,2.2,2
2020,06,68084,2.4,2
2020,06,68196,2.6,2
2020,06,68252,1.9,1
2020,06,68378,2.1,2
2020,32,68400,2,2
2020,13,68516,2.9,2
2020,06,69000,0.6,2
2020,13,69000,2,2
2020,42,69000,1.6,2
2020,26,69035,3,2
2020,06,69070,3.5,1
2020,06,69084,2,2
2020,06,69088,0.8,2
2020,06,69196,1.6,2
2020,12,69700,1.2,2
2020,06,70000,3.1,2
2020,22,70000,1,2
2020,29,70000,2.4,2
2020,53,70000,0.7,1
2020,06,70098,1.1,2
2020,35,70500,3.1,2
2020,12,70600,2.9,2
2020,48,70808,3.2,2
2020,49,70850,0.9,2
2020,12,71000,0.6,1
2020,18,71000,1.3,2
2020,20,71000,1.3,1
2020,27,71428,2.9,1
2020,04,71510,1.8,2
2020,15,71550,1,1
2020,17,72000,4.7,1
2020,06,72016,2.2,2
2020,13,72122,2.1,2
2020,48,72176,3.4,2
2020,04,73000,1.6,2
2020,09,73000,NA,NA
2020,36,73000,1,1
2020,06,73080,2.4,2
2020,19,73335,1.5,1
2020,34,74000,NA,NA
2020,53,74060,1,1
2020,48,74144,4.3,2
2020,44,74300,NA,NA
2020,37,74440,3,2
2020,26,74900,2.2,2
2020,06,75000,0.4,2
2020,37,75000,1.4,2
2020,40,75000,0.4,1
2020,48,76000,1.4,1
2020,51,76432,1.9,1
2020,26,76460,1,1
2020,12,76600,2,2
2020,04,77000,0.4,1
2020,06,77000,1.1,2
2020,39,77000,0.6,1
2020,01,77256,2.4,2
2020,08,77290,0.9,2
2020,06,78120,2.2,2
2020,06,78582,2,2
2020,20,79000,0.5,1
2020,48,79000,1.3,1
2020,17,79293,3.2,2
2020,06,80000,1.7,2
2020,09,80000,NA,NA
2020,53,80010,3.8,1
2020,06,80238,2.3,2
2020,13,80508,3,2
2020,26,80700,2,1
2020,06,80854,3.1,2
2020,06,81344,3.7,2
2020,06,81554,2.5,2
2020,06,81666,1.5,2
2020,25,82000,NA,NA
2020,51,82000,0.7,1
2020,06,82590,1,2
2020,49,82950,0.4,2
2020,06,82954,2.1,2
2020,06,82996,1.7,2
2020,49,83470,1,2
2020,08,83835,1.3,2
2020,26,84000,1,2
2020,36,84000,0.7,2
2020,06,84200,1.3,2
2020,06,84550,3.6,2
2020,06,85292,1.6,2
2020,04,85540,3.3,2
2020,26,86000,2.3,2
2020,26,88940,3.8,2
